Sl. No.,Timestamp,Node Name,Date,Time,Day of the week,emmState_registered_subscriber_count,emmState_deregistered_subscriber_count,ecmState_connected_subscriber_count,ecmState_idle_subscriber_count,amfRmState_registered_subscriber_count,amfRmState_deregistered_subscriber_count,amfCmState_connected_subscriber_count,amfCmState_idle_subscriber_count,subscriber_count,N2_enabled,N2_disabled,N2_total,N12_enabled,N12_disabled,N12_total,N8_enabled,N8_disabled,N8_total,N11_enabled,N11_disabled,N11_total,N15_enabled,N15_disabled,N15_total,s1mme_enabled,s1mme_disabled,s1mme_total,s6ad_enabled,s6ad_disabled,s6ad_total,s11_enabled,s11_disabled,s11_total,sgs_enabled,sgs_disabled,sgs_total,NT_AMF_PCMD,NT_SGSN_PCMD,NT_MME_PCMD,Resultant_Priority
85,15-04-2024 14:48,TC4-CMM-DOLLY-SRN-BLR,15-04-2024,14:48:02,Monday,1,1,0,2,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,25,3,0,3,3,0,3,3,1,4,0,49,8,Critical
86,15-04-2024 14:48,CMM-SLAB-SRN-BLR,15-04-2024,14:48:02,Monday,3,6,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,20,1,0,1,1,0,1,1,0,1,0,0,8,Major
87,15-04-2024 14:48,CMM-INOX,15-04-2024,14:48:02,Monday,1,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,20,2,2,4,1,0,1,2,0,2,0,19,42,Minor
88,15-04-2024 14:48,TCMM-Nexon-SRN-BLR,15-04-2024,09:18:02,Monday,2,0,1,1,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,1,13,2,0,2,1,0,1,2,0,2,0,0,6,Minor
89,15-04-2024 14:48,CMM-GGN,15-04-2024,14:48:03,Monday,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,1,0,1,1,0,1,1,0,1,0,0,6,Critical
90,15-04-2024 14:48,NSA-06-CMM,15-04-2024,12:18:04,Monday,2,8,2,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,3,0,3,1,0,1,3,0,3,0,0,11,Critical
91,15-04-2024 14:48,CMM-LOKI-NCS,15-04-2024,12:18:05,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,2,0,2,0,0,0,Trivial
92,15-04-2024 14:48,AMF3,15-04-2024,12:18:04,Monday,0,0,0,0,188,134,108,219,325,121,34,155,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4347,0,0,Critical
93,15-04-2024 14:48,AMF-03-B,15-04-2024,12:18:05,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trivial
94,15-04-2024 14:48,AMF-SLAB-ESPOO,15-04-2024,12:18:04,Monday,0,0,0,0,1,0,1,0,2,3,4,7,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,Critical
